site,year,cones,tree
BD,2002,0,159
BD,2003,0,159
BD,2004,0,159
BD,2005,0,159
BD,2006,0.6,159
BD,2007,0,159
BD,2008,0,159
BD,2009,0.2,159
BD,2010,0.2,159
BD,2011,0,159
BD,2012,0,159
BD,2013,0,159
BD,2014,0.2,159
BD,2015,1,159
BD,2016,0,159
BD,2017,0.8,159
BD,2018,1.2,159
BD,2019,1.6,159
BD,2020,0.2,159
BD,1998,0,166
BD,1999,0.6,166
BD,2000,0,166
BD,2001,0,166
BD,2002,1,166
BD,2003,0.2,166
BD,2004,0,166
BD,2005,0.2,166
BD,2006,2.6,166
BD,2007,0,166
BD,2008,1.4,166
BD,2009,0.4,166
BD,2010,0,166
BD,2011,1.2,166
BD,2012,0,166
BD,2013,0,166
BD,2014,0.8,166
BD,2015,2.2,166
BD,2016,0.4,166
BD,2017,0,166
BD,2018,0,166
BD,2019,1.8,166
BD,2020,0,166
BD,2000,0,160
BD,2001,0,160
BD,2002,0,160
BD,2003,0.666666667,160
BD,2004,0,160
BD,2005,0,160
BD,2006,0.333333333,160
BD,2007,0,160
BD,2008,0.833333333,160
BD,2009,0,160
BD,2010,0.333333333,160
BD,2011,1,160
BD,2012,0.5,160
BD,2013,0,160
BD,2014,0,160
BD,2015,1.5,160
BD,2016,0.833333333,160
BD,2017,0,160
BD,2018,1,160
BD,2019,2.5,160
BD,2020,0.5,160
BD,2002,0,161
BD,2003,0.8,161
BD,2004,0,161
BD,2005,0,161
BD,2006,1.6,161
BD,2007,1,161
BD,2008,0.4,161
BD,2009,0.8,161
BD,2010,0.2,161
BD,2011,0.8,161
BD,2012,1.2,161
BD,2013,0,161
BD,2014,0,161
BD,2015,1.8,161
BD,2016,0.6,161
BD,2017,0,161
BD,2018,1.8,161
BD,2019,1,161
BD,2020,2.6,161
BD,2005,0,162
BD,2006,1,162
BD,2007,0,162
BD,2008,0.8,162
BD,2009,0.2,162
BD,2010,0,162
BD,2011,0.6,162
BD,2012,0,162
BD,2013,0,162
BD,2014,1,162
BD,2015,0,162
BD,2016,0.4,162
BD,2017,1.4,162
BD,2018,0.4,162
BD,2019,2.4,162
BD,2020,0.6,162
BD,2003,0,163
BD,2004,0,163
BD,2005,0,163
BD,2006,1.6,163
BD,2007,0,163
BD,2008,0,163
BD,2009,1.2,163
BD,2010,0,163
BD,2011,0.4,163
BD,2012,0,163
BD,2013,0,163
BD,2014,0,163
BD,2015,0.4,163
BD,2016,1.4,163
BD,2017,0,163
BD,2018,0,163
BD,2019,2.4,163
BD,2020,0,163
BD,2003,0.2,164
BD,2004,0,164
BD,2005,0,164
BD,2006,0.2,164
BD,2007,0,164
BD,2008,0,164
BD,2009,0,164
BD,2010,0,164
BD,2011,0,164
BD,2012,0,164
BD,2013,0,164
BD,2014,0,164
BD,2015,0.2,164
BD,2016,1.2,164
BD,2017,0,164
BD,2018,0.8,164
BD,2019,2,164
BD,2020,0,164
BD,2002,0.5,165
BD,2003,0,165
BD,2004,0,165
BD,2005,0,165
BD,2006,0.2,165
BD,2007,0,165
BD,2008,0.4,165
BD,2009,0.2,165
BD,2010,0,165
BD,2011,0,165
BD,2012,0,165
BD,2013,0,165
BD,2014,0.4,165
BD,2015,0.2,165
BD,2016,0,165
BD,2017,1,165
BD,2018,0.8,165
BD,2019,2.2,165
BD,2020,0.2,165
BD,1995,0,168
BD,1996,0,168
BD,1997,0,168
BD,1998,0,168
BD,1999,0.4,168
BD,2000,0,168
BD,2001,0.2,168
BD,2002,0,168
BD,2003,0.4,168
BD,2004,0,168
BD,2005,0,168
BD,2006,1.6,168
BD,2007,0.2,168
BD,2008,1,168
BD,2009,0.4,168
BD,2010,0,168
BD,2011,0.2,168
BD,2012,0,168
BD,2013,0,168
BD,2014,1,168
BD,2015,0.2,168
BD,2016,0.6,168
BD,2017,0.2,168
BD,2018,0,168
BD,2019,1.4,168
BD,2020,0,168
BD,2004,0,167
BD,2005,0,167
BD,2006,0.6,167
BD,2007,0,167
BD,2008,0,167
BD,2009,0.4,167
BD,2010,0,167
BD,2011,0.8,167
BD,2012,1,167
BD,2013,0,167
BD,2014,0.8,167
BD,2015,2,167
BD,2016,1.2,167
BD,2017,1,167
BD,2018,1.4,167
BD,2019,2.8,167
BD,2020,0.4,167
BH,2003,2.6,113
BH,2004,0.6,113
BH,2005,0.166666667,113
BH,2006,3.166666667,113
BH,2007,0,113
BH,2008,2.333333333,113
BH,2009,2.5,113
BH,2010,0.5,113
BH,2011,2,113
BH,2012,0.166666667,113
BH,2013,1,113
BH,2014,2.666666667,113
BH,2015,1.333333333,113
BH,2016,1.833333333,113
BH,2017,0.666666667,113
BH,2018,0.333333333,113
BH,2019,4.666666667,113
BH,2003,2.25,114
BH,2004,0.5,114
BH,2005,1,114
BH,2006,4.5,114
BH,2007,0,114
BH,2008,0.25,114
BH,2009,3.5,114
BH,2010,0,114
BH,2011,0,114
BH,2012,2.5,114
BH,2013,0,114
BH,2014,3.25,114
BH,2015,2.5,114
BH,2016,0.25,114
BH,2017,1,114
BH,2018,0,114
BH,2019,3.5,114
BH,2003,0.8,116
BH,2004,1,116
BH,2005,0,116
BH,2006,2.833333333,116
BH,2007,0,116
BH,2008,0,116
BH,2009,3,116
BH,2010,0,116
BH,2011,0,116
BH,2012,2.5,116
BH,2013,0,116
BH,2014,1.666666667,116
BH,2015,1.5,116
BH,2016,0.833333333,116
BH,2017,0.5,116
BH,2018,0,116
BH,2019,3.333333333,116
BH,2020,0,113
BH,2020,0,114
BH,2020,0,116
BH,2020,0,115
BH,2019,0,115
BH,2018,0,115
BH,2017,0,115
BH,2016,0,115
BH,2015,1.2,115
BH,2014,1,115
BH,2013,0,115
BH,2012,0,115
BH,2011,0.6,115
BH,2010,0,115
BH,2009,0.2,115
BH,2008,0.6,115
BH,2007,0.2,115
BH,2006,0.2,115
BH,2005,0.2,115
BH,2004,0.2,115
BH,2003,0,115
BH,2002,0,115
BH,2001,0,115
BH,2000,0,115
BH,2020,0,117
BH,2019,1.8,117
BH,2018,0,117
BH,2017,0.6,117
BH,2016,0,117
BH,2015,0.4,117
BH,2014,1.6,117
BH,2013,0,117
BH,2012,0.8,117
BH,2011,0.4,117
BH,2010,0,117
BH,2009,2.2,117
BH,2008,0.8,117
BH,2007,0,117
BH,2006,2.2,117
BH,2005,0.6,117
BH,2004,0.4,117
BH,2003,2,117
BH,2002,1,117
BH,2001,1.4,117
BH,2000,0.8,117
BH,2020,0,118
BH,2019,0,118
BH,2018,0,118
BH,2017,0,118
BH,2016,0,118
BH,2015,0.8,118
BH,2014,0.4,118
BH,2013,0,118
BH,2012,0.8,118
BH,2011,0.6,118
BH,2010,0,118
BH,2009,2.2,118
BH,2008,0.4,118
BH,2007,0,118
BH,2006,1.4,118
BH,2005,0.2,118
BH,2004,1.8,118
BH,2003,0,118
BH,2002,1.2,118
BH,2001,1.6,118
BH,2000,1,118
BH,2020,0,121
BH,2019,1,121
BH,2018,0,121
BH,2017,0,121
BH,2016,0,121
BH,2015,0,121
BH,2014,0.2,121
BH,2013,0,121
BH,2012,0,121
BH,2011,0,121
BH,2010,0,121
BH,2009,0,121
BH,2008,0,121
BH,2007,0,121
BH,2006,0.6,121
BH,2005,0,121
BH,2004,0,121
BH,2003,0.4,121
BH,2002,0,121
BH,2001,0,121
BH,2000,0,121
BH,2020,0,120
BH,2019,2.8,120
BH,2018,1,120
BH,2017,0,120
BH,2016,0.8,120
BH,2015,1.8,120
BH,2014,1.8,120
BH,2013,0.6,120
BH,2012,0.4,120
BH,2011,1.8,120
BH,2010,0,120
BH,2009,2.6,120
BH,2008,2,120
BH,2007,0,120
BH,2006,1.2,120
BH,2005,1.4,120
BH,2004,0,120
BH,2003,0.2,120
BH,2002,0.8,120
BH,2001,0.2,120
BH,2000,0.8,120
BH,2020,0,119
BH,2019,0.6,119
BH,2018,0,119
BH,2017,0.4,119
BH,2016,0,119
BH,2015,0,119
BH,2014,0.6,119
BH,2013,0,119
BH,2012,0,119
BH,2011,0.6,119
BH,2010,0,119
BH,2009,0,119
BH,2008,0.6,119
BH,2007,0,119
BH,2006,0.4,119
BH,2005,0,119
BH,2004,0,119
BH,2003,0,119
BH,2002,0,119
BH,2001,0,119
BH,2000,0,119
BH,2020,0,122
