tree,site,growth12,conematur,resinarea2,BA5,dbh,wuecentered,cwd
111,HM1,0.802466667,75.36666667,0.161633843,60,49.5,-0.713548758,93.44717201
112,HM1,0.680111111,62.4,0.132549404,55,36,-0.171694567,93.44717201
113,BH,0.489444444,78.12592593,0.067798257,50,24.2,0.346535718,2.333597312
114,BH,0.361285714,183.0535714,0.091953444,55,46.5,-1.468601696,2.333597312
115,BH,1.046333333,7.542857143,0.124434129,75,18.1,0.148015795,2.333597312
116,BH,1.051833333,41.92222222,0.057732073,60,20.6,0.566042577,2.333597312
117,BH,0.205666667,35.46666667,0.133009257,80,27.5,0.35698628,2.333597312
118,BH,0.37152381,17.71428571,0.056973244,105,18.9,0.210697934,2.333597312
119,BH,0.67347619,15.39047619,0.093413049,60,34.6,-0.019098843,2.333597312
120,BH,0.378809524,73.1047619,0.071527176,75,31.7,0.503316675,2.333597312
121,BH,0.611809524,6.180952381,0.110382658,45,18.8,-0.394906242,2.333597312
122,BH,0.524714286,31.12380952,0.096461031,60,29.4,-0.353163569,2.333597312
123,LH,1.657,25.725,0.18337399,35,23,0.723325533,252.4277646
136,HM1,0.262333333,175.0933333,0.069008427,60,52,0.913748815,93.44717201
137,HM1,0.3655,138.3333334,0.100086593,60,40.1,-0.51563053,93.44717201
138,HM1,0.446857143,52.41904762,0.073990079,20,40.5,-0.161268633,93.44717201
139,HM6,1.568285714,38.56666667,0.193836974,40,32,0.62689252,2.052949762
140,HM6,1.654071429,67.51428572,0.142921528,55,32.5,-0.155726513,2.052949762
141,HM6,0.4154,65.6,0.047997431,75,40.3,-0.301682118,2.052949762
142,WT1,0.853095238,109.3714286,0.111017119,45,61.5,-0.151306765,7.677870306
143,WT1,0.79135,60.6,0.093756486,50,44.5,-0.338948583,7.677870306
144,WT1,0.719944444,32.88888889,0.098206695,40,58.3,-0.193010931,7.677870306
145,WT1,2.006333333,57.63333333,0.412784637,5,62.2,0.318100908,7.677870306
146,WT1,1.173,21.63888889,0.10296443,0,59,0.422472576,7.677870306
147,WT1,2.112923077,66.6,0.26810605,25,50.8,-0.609864558,7.677870306
148,WT1,1.469947368,12.31578947,0.257258714,70,38.7,-0.57861239,7.677870306
149,WT2,0.57125,17.67500001,0.098977853,15,27,0.496322907,102.0186908
150,WT2,1.64225,10.2,0.288998061,10,29.7,-0.524675656,102.0186908
151,WT2,0.959285714,46.81428571,0.128129835,20,35,-0.108189228,102.0186908
152,HM6,1.406105263,127.8,0.158379192,45,40,0.0945806,2.052949762
